IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,126.5,811,1,0,2,16,3,90,36,247.5,249.25,247.312,4.4641,4.79967,5.2825
1,668,786.5,1,0,2,15,3,52,225,246.867,232.267,127.867,4.49984,4.64173,4.26326
1,664.5,784.5,1,0,2,25,4,54,214,243.88,232.36,129.48,4.07662,4.53135,4.61242
1,633.962,740.692,1,0,2,22,3,56,153,223.045,215.636,127.409,16.5607,16.7871,16.6195
1,589.5,751,1,0,5,16,3,52,146,213.375,197.812,99.625,25.2613,26.4195,27.8651
1,578.493,744.466,1,0,5,259,11,50,194,215.486,184.502,28.9228,10.3439,15.0582,20.381
1,577.685,728.523,1,0,5,304,11,50,198,214.365,182.345,26.8651,9.40396,14.3632,18.2921
1,568.5,720,1,0,5,92,7,52,192,212.033,184.978,30.3152,8.10244,9.26593,18.2953
1,555,708.5,1,0,2,89,6,56,200,243.337,236.326,155.449,2.50612,2.95325,4.06122
1,600,713,1,0,3,20,3,56,206,244.75,239.6,160.5,2.99687,2.95959,2.96214
1,594.25,710.75,1,0,3,28,4,56,206,244.964,239.25,159.5,2.47557,2.40471,2.65831
1,589.8,703.6,1,0,3,86,6,54,210,244.698,236.895,152.174,2.92939,3.36756,6.25886
1,408,697,1,0,2,134,7,56,146,217.799,209.858,119.381,13.7049,13.508,18.796
1,550.115,688.077,1,0,3,28,4,56,208,245.786,240.714,166.214,3.02409,3.05039,3.28906
1,610.354,679.317,1,0,3,87,7,38,225,160.954,104.241,9.57471,7.61748,12.3997,7.63781
1,612,670.5,1,0,3,96,6,38,210,164.49,108.854,16.0521,10.1651,14.4675,10.9051
1,610.09,658.944,1,0,3,185,8,40,220,164.438,112.422,11.9514,14.1678,22.1899,16.4976
1,596,638.5,1,0,2,26,3,54,217,246.769,237.923,155.154,3.18927,2.97918,3.44465
1,584.02,631.86,1,0,2,134,7,54,153,219.769,209.06,115.015,7.97427,8.12339,14.4747
1,447,641.5,1,0,2,643,16,52,180,208.18,183.075,35.5303,11.4054,15.095,28.2299
1,449,614.5,1,0,2,790,18,50,182,197.635,168.409,33.4443,15.0859,21.3157,30.8588
1,503.5,598,1,0,3,152,8,54,188,239.276,230.27,150.184,9.91421,10.3619,10.9488
1,497,596,1,0,3,25,4,56,194,241.88,236.8,159.8,2.75089,3.05913,3.41661
1,513.5,591,1,0,3,85,6,54,204,243.788,233.765,156.506,8.73547,8.87647,9.98315
1,537.769,583.846,1,0,2,107,6,54,200,242.85,234.907,155.664,2.88354,3.12036,4.94102
1,332,580,1,0,4,26,4,56,142,219.038,212.808,129.269,3.44132,3.49645,4.67484
1,137.5,561,1,0,2,51,4,56,170,231,226.216,134.686,8.9459,8.75941,10.2217
1,136,552,1,0,2,64,5,56,166,228.594,223.859,132.469,15.7391,15.5783,16.8666
1,460.5,544.5,1,0,2,35,4,56,191,242.029,236.514,164.371,2.13353,1.93721,2.74169
1,836.5,532,1,0,5,22,3,52,218,242.227,219.727,89.0909,2.97557,3.27999,6.86135
1,824.5,528,1,0,5,39,5,52,206,238.513,221.359,104.487,6.2373,6.4136,8.08509
1,831.5,525.5,1,0,5,31,4,52,199,232.581,213.097,78.3871,3.13684,3.00572,5.82385
1,428.5,534.5,1,0,3,290,10,50,203,194.259,162.666,22.1759,13.6004,17.3254,17.116
1,424.42,522.56,1,0,3,134,8,50,200,205.104,177.187,25.1493,9.55995,11.4397,9.72508
1,438.5,517.5,1,0,3,131,7,54,179,209.74,190.832,37.313,7.20464,5.19588,17.7456
1,418.5,506,1,0,2,52,5,58,187,241.538,239.019,171.481,2.99482,3.04272,2.96596
1,649.5,561,1,0,6,21,3,54,214,245.667,235.476,150.667,2.20844,1.95713,2.28483
1,651.5,555,1,0,6,24,3,52,213,244.792,230.75,145.125,2.84795,2.73805,3.10777
1,659,543,1,0,6,59,6,50,209,243.085,226.441,133.949,4.25362,5.33852,8.19327
1,674,517.5,1,0,6,1729,26,46,199,202.533,162.744,24.5038,15.7618,22.8182,24.694
1,520,518.5,1,0,7,23,3,52,133,211.174,197.913,115.087,29.877,30.8983,33.6309
1,514.371,504.418,1,0,7,307,10,50,175,204.775,177.212,38.0717,10.7969,10.3047,17.1554
1,492.6,490.7,1,0,7,142,18,54,146,224.563,217.401,144.866,25.0418,25.3551,26.1243
1,464,487.5,1,0,2,15,3,56,234,251.667,248.2,185.467,2.4453,2.10755,2.30979
1,639.26,518.18,1,0,4,241,11,52,205,242.17,227.083,134.938,4.44731,6.04023,10.6714
1,610.649,498.018,1,0,4,530,15,48,191,208.155,171.819,30.1321,11.8054,16.7646,22.1848
1,629.695,492.831,1,0,4,529,15,48,201,202.342,163.624,24.1947,14.7396,18.7981,20.3488
1,474,478,1,0,3,19,3,60,179,242.421,240.842,181.105,13.5586,13.3768,13.4558
1,423,460,1,0,2,27,4,54,194,242.481,234.37,158.926,1.91774,2.36485,3.66564
1,433.99,482.273,1,0,2,716,16,50,183,212.979,185.317,35.1061,11.2844,14.6277,25.8709
1,442,457.5,1,0,2,26,3,58,150,232.192,229.962,165.885,9.22762,9.24845,9.64393
1,650,457,1,0,3,19,3,54,169,231.789,223.632,140.737,6.02184,6.05975,5.83237
1,397.8,468.4,1,0,2,799,17,50,181,206.612,176.708,35.4205,15.158,20.4275,28.6769
1,411.25,450.25,1,0,2,122,7,52,162,214.525,198.451,74.5984,18.47,19.6297,40.9655
1,342,460.5,1,0,2,1419,22,48,173,203.66,172.592,38.7385,16.0457,23.132,35.2017
1,763,353.5,1,0,3,30,4,50,92,161.867,148.567,76.4667,6.18159,6.52982,6.24553
1,805.5,339,1,0,3,57,5,50,155,159.982,140.439,38.8772,20.4535,20.8627,17.6059
1,250.75,341.75,1,0,4,62,6,42,199,169.645,123.403,21.1129,6.39742,11.3728,8.47923
1,245,338,1,0,4,70,5,40,214,170.643,118.6,15.0143,8.00823,16.6711,7.72627
1,237,334.5,1,0,4,51,6,42,232,171.51,123.569,8.07843,8.02202,15.3366,4.79805
1,261.5,331,1,0,2,16,3,54,169,231.938,223.062,141.062,1.96623,2.34484,3.30404
1,453,335,1,0,3,27,3,52,159,225,212.889,124.667,8.3987,8.02553,8.08676
1,441.862,330.655,1,0,3,134,7,54,150,216.366,202.627,103.866,12.0065,12.6418,17.1443
1,452,326.5,1,0,3,44,5,54,161,225.477,212.886,121.773,12.4107,12.4975,13.9437
1,176.373,275.038,1,0,4,138,9,46,122,182.254,155.964,64.0217,17.9467,15.5549,31.6286
1,181.256,266.805,1,0,4,123,7,48,119,178.122,153.675,64.7398,18.0053,16.0913,35.6234
1,193.75,248.25,1,0,4,42,5,52,127,206.738,194.762,111.619,13.6662,13.3555,34.4657
1,243.7,215.9,1,0,9,66,6,44,187,194.152,149.833,30.2727,4.4739,5.08465,6.63147
1,250.75,213.25,1,0,9,67,6,44,192,193.254,150.254,27.2537,5.02731,6.783,5.95154
1,235.7,208.4,1,0,9,22,4,44,131,176.727,143.545,57.1818,8.31239,6.86769,12.268
1,245,203,1,0,9,54,5,42,155,181.204,142.315,43.7963,7.47325,8.22348,15.2743
1,245.423,195.885,1,0,9,21,3,48,77,184.762,171.81,124.048,24.8006,26.7546,42.5778
1,311,940,1,0,1,47,7,104,10,204.851,208.362,203.723,33.8633,33.3363,33.7568
1,240.676,922.206,1,0,1,72,11,60,2,115.569,116.389,114.361,93.5363,94.116,92.6778
1,293.1,898.3,1,0,1,11,6,66,11,140.364,141.182,131.091,9.67884,9.77826,9.59656
1,300.9,863.7,1,0,1,11,6,52,25,162.909,159.727,142.909,7.31671,7.8103,8.29202
1,701.62,831.66,1,0,1,40,6,56,36,213,211.975,198.525,24.735,24.5356,24.7834
1,580.65,815.55,1,0,1,83,6,56,172,222.795,212.036,90.9157,9.01919,8.31963,19.5597
1,272,802.5,1,0,1,89,6,56,175,221.865,211.236,78.1124,10.5355,9.84577,27.1871
1,492,790.5,1,0,1,13,3,58,144,222.385,217.615,135.923,28.6393,28.4942,28.8691
1,678.923,779.615,1,0,1,80,5,54,179,225.038,211.812,83.3875,5.67826,5.61274,16.9291
1,148.66,776.38,1,0,1,40,6,60,33,207.775,208.4,194.45,34.5153,34.4849,34.7209
1,268.5,778,1,0,1,33,4,58,157,217.818,214.394,100.455,12.9708,12.5888,17.181
1,271.25,761.75,1,0,1,82,6,58,163,224.805,219.915,118.037,17.9486,16.7876,29.7137
1,708,746,1,0,1,37,4,54,197,237.892,225.351,122.216,15.2521,15.1425,15.2452
1,733,743.5,1,0,1,32,4,52,200,235.656,218.594,98.8438,13.6506,13.5645,15.4592
1,738.8,722.9,1,0,1,11,2,52,160,217.545,202.727,92.6364,19.6419,19.0459,19.0367
1,65.2,724.4,1,0,1,42,5,102,27,206.095,212.976,203.405,26.8704,26.702,27.0129
1,536.717,741.71,1,0,1,1363,24,42,199,178.74,129.979,21.8723,22.3112,35.4989,27.6579
1,113.446,722.531,1,0,1,10,6,60,23,160.7,160.6,142,8.64264,8.56571,8.19722
1,344.205,741.007,1,0,1,2270,28,50,185,209.454,178.617,32.9815,15.7032,23.1715,32.8356
1,71,714.5,1,0,1,44,7,102,11,175.091,179.682,172.909,34.9423,34.6619,34.8324
1,944,713.5,1,0,1,44,7,120,2,127.773,130.136,128.455,105.643,107.312,106.076
1,924.9,714.2,1,0,1,29,5,76,128,249.103,250.793,243.172,3.90475,3.36904,3.42215
1,575.25,710.25,1,0,1,22,3,54,221,247.818,239.864,157.818,3.20817,2.96088,3.65666
1,949,702.5,1,0,1,44,7,120,2,127.773,130.159,128.273,105.562,107.291,105.904
1,46.0823,702.371,1,0,1,14,6,108,6,154.643,158.643,154.357,82.3235,84.3286,82.1345
1,103.8,704.1,1,0,1,25,14,60,23,155.92,155.92,135.76,9.20692,9.31346,8.95628
1,565.5,693,1,0,1,22,3,54,219,248.318,239.636,161.636,2.66205,2.77214,2.66639
1,337,691,1,0,1,25,4,58,148,227.08,224.16,149.08,7.8814,8.02385,8.63109
1,525.7,693.1,1,0,1,89,6,54,149,220.483,210.618,120.674,5.69308,5.74876,7.93918
1,790,677.5,1,0,1,89,6,52,184,217.472,191.247,35.2809,5.14102,6.01297,11.7515
1,404.25,677.25,1,0,1,85,6,56,150,223.882,218.282,136.271,10.1772,10.1582,13.6113
1,644.5,671.5,1,0,1,29,3,56,190,240.379,234.552,153.138,6.49868,6.5683,6.53188
1,495,684,1,0,1,915,18,50,177,215.825,189.069,39.2022,10.569,15.9509,31.6742
1,746.5,661.5,1,0,1,28,3,54,208,243.179,233.393,136.893,4.88269,4.92191,4.8945
1,817.75,643.75,1,0,1,19,3,50,230,244.895,217.316,60.8421,3.14953,2.94808,3.43361
1,529,647,1,0,1,42,5,56,201,244.595,241,170.881,2.29209,1.95119,2.40072
1,810,635,1,0,1,92,7,52,189,223.989,200.272,45.337,5.53847,5.94997,11.3086
1,295,619,1,0,1,54,5,56,135,210.648,205.944,112.037,9.19927,8.91954,17.0669
1,320.5,610.5,1,0,1,29,3,58,154,232.517,230.862,165.759,27.3408,27.4102,27.4636
1,308.5,609,1,0,1,44,7,60,144,230.432,228.818,165.114,10.2402,10.4683,10.7752
1,470.5,599.5,1,0,1,37,4,58,188,241.351,237.757,162.622,2.66386,2.83665,3.93489
1,239.5,579.5,1,0,1,13,2,60,80,183.308,182.077,116.692,22.3375,22.3486,22.1529
1,487.1,582.8,1,0,1,242,9,54,171,216.004,198.88,58.4091,10.6717,12.5464,36.893
1,449.5,573.5,1,0,1,42,4,60,167,237.786,236.571,172.548,18.0804,18.0812,18.1717
1,117.154,575.769,1,0,1,27,3,56,190,235.963,227.593,125.074,5.69422,5.66078,5.48806
1,463.5,565,1,0,1,21,3,58,128,219.333,215.857,145.762,19.2922,18.6589,20.001
1,523,569.5,1,0,1,424,13,52,181,219.828,197.686,48.5448,9.25199,11.6336,32.5496
1,553.509,567.647,1,0,1,423,12,52,177,218.787,194.553,56.3357,12.503,16.6257,39.952
1,670,564,1,0,1,189,8,52,161,216.254,200.455,81.582,6.2442,6.45441,14.0745
1,541.25,550.75,1,0,1,73,5,56,149,222.041,215.014,128.671,12.036,11.6224,19.8658
1,479.25,551.75,1,0,1,318,11,52,170,214.478,193.415,50.2704,10.1805,12.7512,34.1527
1,849,543,1,0,1,29,4,52,196,227.241,199.379,38.7241,2.4301,2.42427,2.72
1,619,552,1,0,1,923,19,48,188,210.792,175.247,32.1127,12.2145,18.4254,28.0776
1,843.8,519.9,1,0,1,11,2,52,217,240.273,215.909,70.0909,2.60062,2.88074,4.91859
1,529,505.5,1,0,1,24,3,50,146,200.625,175.625,57.25,10.3265,10.4684,15.2456
1,576.5,519,1,0,1,669,16,50,187,215.336,184.167,33.1614,10.9589,14.1835,24.0043
1,548,510,1,0,1,369,11,50,171,213.401,185.859,42.8238,12.373,14.7175,28.5166
1,805.5,459,1,0,1,37,4,52,190,235.838,222.27,123.73,2.70077,2.6382,3.03548
1,696.5,441,1,0,1,54,5,54,126,205.907,197.185,110.556,11.1512,11.3657,11.6574
1,594,421,1,0,1,47,5,56,170,234.043,228.149,149.894,5.32193,5.22746,5.3868
1,92.4471,423.488,1,0,1,60,9,48,31,204.25,200.733,189.983,38.4889,38.9929,38.8534
1,860.5,406.5,1,0,1,28,3,52,191,202.25,179.107,28.8929,5.57965,5.46686,5.20322
1,31,403,1,0,1,19,3,138,85,241.211,248.158,242.632,3.41876,2.59813,3.77604
1,10,400.5,1,0,1,24,12,140,5,181.792,185.292,183.333,11.3158,11.4582,11.6992
1,832,390,1,0,1,54,5,52,225,245.111,223.537,95.7778,2.34256,2.13387,5.46246
1,102.35,387.95,1,0,1,17,9,48,17,156.059,152.529,141.706,9.23529,9.57574,9.31558
1,194.265,375.441,1,0,1,13,3,58,117,211.846,209,139.154,36.7789,36.2813,36.5005
1,276.5,374.5,1,0,1,33,4,56,176,237.667,233.485,162.273,18.9438,18.9716,19.0324
1,113.44,357.974,1,0,1,13,7,50,14,151.615,149.692,140.154,6.55446,6.57997,6.4891
1,793.3,351.6,1,0,1,39,4,52,224,246.897,230.641,132.231,3.7716,3.75948,6.98914
1,234.5,349,1,0,1,29,4,34,228,157.966,91.8276,8.51724,2.42594,2.20542,3.07814
1,531,346,1,0,1,177,8,54,164,222.266,210.537,104.435,9.58343,9.35579,17.3568
1,229,325,1,0,1,20,3,52,175,157.05,140.6,28.95,9.37541,7.52227,11.5852
1,33.5862,318.534,1,0,1,14,7,140,9,211.214,213.643,212,62.4982,62.8034,62.6766
1,430.5,287,1,0,1,26,3,56,192,240.231,233.154,149.154,3.80532,3.78309,3.9048
1,447.5,276,1,0,1,26,3,54,190,238.923,231.346,145.846,4.73057,4.69971,4.48284
1,415,253,1,0,1,29,4,54,159,223.793,213.103,121.897,5.57414,5.72225,5.71494
1,68.5,246,1,0,1,43,6,120,1,121.14,122,120.791,104.768,105.268,104.518
1,727.75,243.75,1,0,1,104,6,52,193,228.923,208.779,67.0865,7.2829,7.03986,15.7545
1,695.5,232.5,1,0,1,12,2,52,191,233.667,219,108.333,3.98142,4.05505,4.27448
1,207.5,230.5,1,0,1,27,3,46,82,174.222,155.481,96.9259,21.4855,22.3305,44.8355
1,89.7308,212.654,1,0,1,40,6,120,1,132.35,132.925,132.25,120.47,120.884,120.477
1,853.165,189.859,1,0,1,65,10,68,42,235.585,237.231,230.446,11.3044,10.9842,11.0077
1,657,174,1,0,1,29,4,52,201,229.552,202.724,44.7586,2.90437,2.72,3.44463
1,140.75,150.75,1,0,1,97,14,60,1,113.928,114.351,113.474,120.815,121.101,120.399
1,599,18.5,1,0,1,35,4,60,109,252.829,252.886,250.314,5.74182,5.68293,5.90348
